Occupation,Gender,Average weekly ordinary time cash earnings,Average weekly total cash earnings,Average weekly ordinary time hours paid for,Average weekly total hours paid for,Average hourly ordinary time cash earnings,Average hourly total cash earnings,Year
421 Child carers,Persons,1169.7,1179.9,37.4,37.6,31.2,31.3,2023
422 Education aides,Females,1168.3,1172.2,37,37.1,31.6,31.6,2023
422 Education aides,Males,1140.4,1140.4,37.3,37.3,30.6,30.6,2023
422 Education aides,Persons,1164.8,1168.2,37.1,37.1,31.5,31.5,2023
423 Personal carers and assistants,Females,1354.1,1390.2,37.6,38.3,35.9,36.2,2023
423 Personal carers and assistants,Males,1475.5,1532,38.3,39.4,38.7,39,2023
423 Personal carers and assistants,Persons,1387.9,1429.6,37.8,38.6,36.7,37,2023
431 Hospitality workers,Females,1228.4,1256.6,38.9,39.6,31.6,31.8,2023
431 Hospitality workers,Males,1301.3,1309.9,40.1,40.3,32.6,32.6,2023
431 Hospitality workers,Persons,1261.5,1280.8,39.5,39.9,32,32.2,2023
"441 Defence force members, fire fighters and police",Females,2067.1,2148.6,38.4,39.2,53.9,54.8,2023
"441 Defence force members, fire fighters and police",Males,2367,2494.7,39.6,41,60.2,61.1,2023
"441 Defence force members, fire fighters and police",Persons,2317.5,2437.7,39.4,40.7,59.1,60,2023
442 Prison and security officers,Females,1606.2,1757.6,39.2,42.1,40.8,41.7,2023
442 Prison and security officers,Males,1654,1838.4,40.6,43.7,40.7,41.7,2023
442 Prison and security officers,Persons,1641.8,1817.8,40.2,43.3,40.7,41.7,2023
451 Personal service and travel workers,Females,1304.6,1342,36.3,37,36.3,36.4,2023
451 Personal service and travel workers,Males,1381.5,1466.7,37.5,39.2,37,37.4,2023
451 Personal service and travel workers,Persons,1329.2,1382,36.7,37.7,36.6,36.7,2023
452 Sports and fitness workers,Females,1376.7,1379.7,37.8,37.8,36.5,36.5,2023
452 Sports and fitness workers,Males,1554.5,1555,38,38.1,40.9,40.9,2023
452 Sports and fitness workers,Persons,1493.9,1495.3,37.9,38,39.4,39.4,2023
"511 Contract, program and project administrators",Females,2018.9,2024.3,37.4,37.5,54,54,2023
"511 Contract, program and project administrators",Males,2193.4,2207.4,38,38.2,57.8,57.8,2023
"511 Contract, program and project administrators",Persons,2099.1,2108.5,37.7,37.8,55.7,55.8,2023
512 Office and practice managers,Females,1609.4,1627.3,37.9,38.2,42.6,42.7,2023
512 Office and practice managers,Males,1729,1747.4,38.4,38.7,45,45.1,2023
512 Office and practice managers,Persons,1632.7,1650.6,38,38.3,43,43.2,2023
521 Personal assistants and secretaries,Females,1591.8,1592.4,37.2,37.2,42.8,42.8,2023
521 Personal assistants and secretaries,Males,1351.4,1354.3,37.9,38,35.7,35.7,2023
521 Personal assistants and secretaries,Persons,1586.8,1587.4,37.2,37.2,42.6,42.6,2023
531 General clerks,Females,1344.6,1358.8,37.6,37.8,35.9,36,2023
531 General clerks,Males,1404.1,1431.6,37.5,38.1,37.5,37.7,2023
531 General clerks,Persons,1355.3,1371.9,37.5,37.9,36.2,36.3,2023
532 Keyboard operators,Females,1162.4,1171.2,37.9,38.1,30.7,30.8,2023
532 Keyboard operators,Males,1413.9,1414.7,38,38,37.2,37.2,2023
532 Keyboard operators,Persons,1254.8,1260.7,37.9,38,33.1,33.1,2023
541 Call or contact centre information clerks,Females,1310.8,1349.1,37,37.7,35.4,35.8,2023
541 Call or contact centre information clerks,Males,1361.5,1403.4,37.8,38.4,36,36.3,2023
541 Call or contact centre information clerks,Persons,1327,1366.5,37.2,37.9,35.6,35.9,2023
542 Receptionists,Females,1187.4,1207.5,37.7,38.2,31.5,31.7,2023
542 Receptionists,Males,1201.9,1222.4,38.2,38.6,31.4,31.5,2023
542 Receptionists,Persons,1188.4,1208.5,37.8,38.2,31.5,31.7,2023
551 Accounting clerks and bookkeepers,Females,1447,1456.5,37.8,38,38.3,38.4,2023
551 Accounting clerks and bookkeepers,Males,1523.9,1534.8,38.1,38.3,40.1,40.2,2023
551 Accounting clerks and bookkeepers,Persons,1464.7,1474.5,37.9,38,38.7,38.8,2023
552 Financial and insurance clerks,Females,1499,1514.8,37.8,38,39.8,39.9,2023
552 Financial and insurance clerks,Males,1496.3,1532.9,38.2,38.8,39.1,39.4,2023
552 Financial and insurance clerks,Persons,1498,1521.5,37.9,38.3,39.5,39.7,2023
561 Clerical and office support workers,Females,1296.8,1359.4,37.1,38.4,34.9,35.2,2023
561 Clerical and office support workers,Males,1232.2,1376.6,36.5,39.6,33.8,34.6,2023
561 Clerical and office support workers,Persons,1262,1368.7,36.8,39.1,34.3,34.9,2023
591 Logistics clerks,Females,1410.8,1444.2,38.1,38.7,37,37.2,2023
591 Logistics clerks,Males,1562.9,1609.7,38.5,39.4,40.5,40.8,2023
591 Logistics clerks,Persons,1501.8,1543.3,38.4,39.1,39.1,39.4,2023
599 Miscellaneous clerical and administrative workers,Females,1529.1,1583.5,37.6,38.4,40.7,41.2,2023
599 Miscellaneous clerical and administrative workers,Males,1713.2,1769.2,37.6,38.4,45.6,45.9,2023
