ANZSCO Level,NFD Indicator 5,Code,ANZSCO Title,COVID Adjusted 3,Skill Level 4,Trend Data for Aug 2025 1,Qtr Change to Aug 2025 1,Qtr Change to Aug 2025 1,1 Year  Change to Aug 2025 1,1 Year  Change to Aug 2025 1,5 Year  Change to Aug 2025 1,5 Year  Change to Aug 2025 1,10 Year  Change to Aug 2025 1,10 Year  Change to Aug 2025 1,Share of National Emp 1,Share of Level 1 Group 1,Female Share 2024 4 Quarter Avg 2,Part Time Share 2024 4 Quarter Avg 2,Female Part Time Share 2024 4 Quarter Avg 2,Male Part Time Share 2024 4 Quarter Avg 2,Median Age 2024 2,Median Female Age 2024 2,Median Male Age 2024 2
3,N,133,"Construction, Distribution and Production Managers",-,-,327.178861925785,1.44883793723068,0.444797172667629,5.5661867092312,1.73071123688868,37.5645573583531,12.9705462630582,88.0873045611018,36.8424989706949,2.22491192404911,17.2132614410732,18,9,19,7,45,43,45
4,Y,1330,"Construction, Distribution and Production Managers nfd",-,1,0.478586320547616,0.0339805327790071,7.64284535060797,0.135933655830431,39.670975838646,0.378586320547616,378.586320547616,0.364645030268322,320.028875725823,<0.1,<0.1,-,-,-,-,-,-,-
4,N,1331,Construction Managers,-,1,131.399190977608,0.500536597319893,0.382384830225778,2.17013945075854,1.67929689579719,19.1796361741376,17.0911711490272,44.9928018948711,52.0711516503588,0.895186760592911,6.89320970957975,10,8,19,6,42,39,43
4,N,1332,Engineering Managers,-,1,34.4528903984126,0.423994065248621,1.24598241770011,1.73107712994503,5.29028484987164,9.41555739339164,37.6060716670719,14.8263625057566,75.5424626650563,0.234718122077885,1.80740076746664,17,9,25,6,43,40,44
4,N,1333,"Importers, Exporters and Wholesalers",-,1,17.8460979235486,-0.224032551163205,-1.23979487296302,-0.947422541333786,-5.0412190898674,-4.33148578824444,-19.5309184469053,-2.1190325171454,-10.613667280762,0.12158058562269,0.93620740409033,32,23,31,19,51,50,52
4,N,1334,Manufacturers,-,1,22.8640599776093,-0.152533542369696,-0.662711196760255,-0.667340397364931,-2.83595700523906,-1.27826928525571,-5.29472227529389,2.49732827747524,12.261801816041,0.155766589071663,1.19945000471828,18,17,26,14,49,50,49
4,N,1335,Production Managers,-,1,65.351985812865,0.288890923998721,0.444016572670227,1.07662130703081,1.67501392688809,4.58067873602576,7.53756823139241,9.12607915682374,16.2310929242138,0.445225210618701,3.42836922962735,20,5,13,3,47,45,47
4,N,1336,"Supply, Distribution and Procurement Managers",-,1,55.9421943369847,0.704277762733675,1.27498972881604,2.80960816975821,5.28791909529004,11.412851272904,25.6299565355819,17.6932025491885,46.2579579805651,0.381118874145263,2.9347309850988,29,7,13,5,46,46,46
3,N,134,"Education, Health and Welfare Services Managers",-,-,111.745053208879,1.56807916941413,1.42323673624623,6.25921480768832,5.93370153051528,27.960949447106,33.3726186611826,43.4890286868849,63.7145643793999,0.759899034658091,5.87903755245466,73,14,16,8,45,45,46
4,Y,1340,"Education, Health and Welfare Services Managers nfd",-,1,0.253591045331365,0.0208679641869262,8.96686486114995,0.080701254293969,46.6778598144718,0.153591045331365,153.591045331365,0.153591045331365,153.591045331365,<0.1,<0.1,-,-,-,-,-,-,-
